Release Date,Start Date,End Date,Release Name,Campaign Name,Artist Name,Format,Release Type,Country Targeting,Currency,Tax Rate,Budget,Budget (incl. tax),Spend,Spend (incl. tax),Segment Targeting,Reach,Clicks,Amplified Listeners,Reactivated Listeners,New Active Listeners,Light Listeners (after converting),Moderate Listeners (after converting),Super Listeners (after converting),Converted Listeners,Conversion Rate,Active Streams Per Listener,Intent Rate,Playlist Add Rate,Playlist Adds,Save Rate,Saves,Listeners of Artist's Other Releases,Active Streams Per Listener for Artist's Other Releases,Saves of Artist's Other Releases,Playlist Adds of Artist's Other Releases
"3/6/26 UTC","3/6/26 UTC","3/20/26 UTC","SH2BA","SH2BA","Socially Acceptable","Showcase","SINGLE","United States","USD","0.000%","300.00","300.00","45.90","45.90","Total","8,065","153","6","7","73","73","10","3","86","1.07%","1.36","13.95%","4.65%","6","13.95%","17","7","4.29","1","0"
"3/6/26 UTC","3/6/26 UTC","3/20/26 UTC","SH2BA","SH2BA","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Super","NA","NA","NA","NA","NA","0","1","2","3","100%","2.33","33.33%","33.33%","3","33.33%","1","2","7.5","0","0"
"3/6/26 UTC","3/6/26 UTC","3/20/26 UTC","SH2BA","SH2BA","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Previously Active","NA","NA","NA","NA","NA","5","2","0","7","3.68%","1.71","0%","0%","0","0%","0","1","9","0","0"
"3/6/26 UTC","3/6/26 UTC","3/20/26 UTC","SH2BA","SH2BA","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Moderate","NA","NA","NA","NA","NA","1","1","1","3","10.34%","1","66.67%","33.33%","1","66.67%","2","2","1.5","1","0"
"3/6/26 UTC","3/6/26 UTC","3/20/26 UTC","SH2BA","SH2BA","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Light","NA","NA","NA","NA","NA","NA","NA","NA","0","0%","0","0%","0%","0","0%","0","0","0","0","0"
"3/6/26 UTC","3/6/26 UTC","3/20/26 UTC","SH2BA","SH2BA","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Programmed","NA","NA","NA","NA","NA","2","0","0","2","0.5%","1.5","50%","0%","0","50%","1","0","0","0","0"
"3/6/26 UTC","3/6/26 UTC","3/20/26 UTC","SH2BA","SH2BA","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Potential","NA","NA","NA","NA","NA","65","6","0","71","0.97%","1.3","11.27%","2.82%","2","11.27%","13","2","1.5","0","0"
"5/16/25 UTC","5/19/25 UTC","6/2/25 UTC","Exit","Exit","Socially Acceptable","Showcase","SINGLE","United States","USD","0.000%","224.00","224.00","63.84","63.84","Total","8,547","228","10","9","135","126","22","6","154","1.81%","1.91","18.18%","7.14%","14","14.94%","28","16","4.13","2","0"
"5/16/25 UTC","5/19/25 UTC","6/2/25 UTC","Exit","Exit","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Super","NA","NA","NA","NA","NA","0","0","3","3","60%","1.67","66.67%","0%","0","66.67%","2","3","7.67","0","0"
"5/16/25 UTC","5/19/25 UTC","6/2/25 UTC","Exit","Exit","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Previously Active","NA","NA","NA","NA","NA","8","0","1","9","6.34%","3.33","11.11%","11.11%","1","0%","0","1","1","0","0"
"5/16/25 UTC","5/19/25 UTC","6/2/25 UTC","Exit","Exit","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Moderate","NA","NA","NA","NA","NA","1","3","0","4","8.16%","3","25%","0%","0","25%","1","0","0","0","0"
"5/16/25 UTC","5/19/25 UTC","6/2/25 UTC","Exit","Exit","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Light","NA","NA","NA","NA","NA","0","2","1","3","4.48%","7.67","33.33%","33.33%","1","0%","0","1","2","0","0"
"5/16/25 UTC","5/19/25 UTC","6/2/25 UTC","Exit","Exit","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Programmed","NA","NA","NA","NA","NA","5","2","0","7","1.93%","1.86","14.29%","14.29%","1","0%","1","0","0","1","0"
"5/16/25 UTC","5/19/25 UTC","6/2/25 UTC","Exit","Exit","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Potential","NA","NA","NA","NA","NA","112","15","1","128","1.62%","1.65","17.19%","6.25%","11","15.63%","24","11","3.64","1","0"
"7/26/24 UTC","7/27/24 UTC","7/29/24 UTC","Great Riddance","Great Riddance","Socially Acceptable","Showcase","SINGLE","United States","USD","0.000%","150.00","150.00","150.00","150.00","Total","15,825","537","1","1","284","NA","NA","NA","286","1.8%","2.85","15.38%","3.5%","13","12.24%","45","11","2.91","1","0"
"7/26/24 UTC","7/27/24 UTC","7/29/24 UTC","Great Riddance","Great Riddance","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Previously Active","NA","NA","NA","NA","NA","NA","NA","NA","1","16.67%","1","0%","0%","0","0%","0","1","1","0","0"
"7/26/24 UTC","7/27/24 UTC","7/29/24 UTC","Great Riddance","Great Riddance","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Programmed","NA","NA","NA","NA","NA","NA","NA","NA","0","0%","0","0%","0%","0","0%","0","0","0","0","0"
"7/26/24 UTC","7/27/24 UTC","7/29/24 UTC","Great Riddance","Great Riddance","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","1","25%","3","100%","0%","0","100%","1","0","0","0","0"
"7/26/24 UTC","7/27/24 UTC","7/29/24 UTC","Great Riddance","Great Riddance","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Light","NA","NA","NA","NA","NA","NA","NA","NA","0","0%","0","0%","0%","0","0%","0","0","0","0","0"
"7/26/24 UTC","7/27/24 UTC","7/29/24 UTC","Great Riddance","Great Riddance","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Potential","NA","NA","NA","NA","NA","NA","NA","NA","284","1.79%","2.86","15.14%","3.52%","13","11.97%","44","10","3.1","1","0"
"7/26/24 UTC","7/27/24 UTC","7/29/24 UTC","Great Riddance","Great Riddance","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Super","NA","NA","NA","NA","NA","NA","NA","NA","0","0%","0","0%","0%","0","0%","0","0","0","0","0"
"3/14/25 UTC","3/14/25 UTC","3/28/25 UTC","Shoes That Float","Shoes That Float","Socially Acceptable","Showcase","SINGLE","United States","USD","0.000%","150.00","150.00","36.96","36.96","Total","5,431","132","6","6","69","68","9","4","81","1.52%","2.51","20.99%","2.47%","4","19.75%","23","11","3","3","0"
"3/14/25 UTC","3/14/25 UTC","3/28/25 UTC","Shoes That Float","Shoes That Float","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Super","NA","NA","NA","NA","NA","0","1","1","2","4.76%","3","50%","50%","3","50%","2","2","3.5","0","0"
"3/14/25 UTC","3/14/25 UTC","3/28/25 UTC","Shoes That Float","Shoes That Float","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Previously Active","NA","NA","NA","NA","NA","3","2","1","6","8.45%","12.83","66.67%","0%","0","66.67%","7","3","2","1","0"
"3/14/25 UTC","3/14/25 UTC","3/28/25 UTC","Shoes That Float","Shoes That Float","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Moderate","NA","NA","NA","NA","NA","0","2","0","2","3.13%","2.5","50%","0%","0","50%","1","1","1","1","0"
"3/14/25 UTC","3/14/25 UTC","3/28/25 UTC","Shoes That Float","Shoes That Float","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Light","NA","NA","NA","NA","NA","1","1","0","2","4.17%","2.5","50%","50%","1","0%","0","1","1","0","0"
"3/14/25 UTC","3/14/25 UTC","3/28/25 UTC","Shoes That Float","Shoes That Float","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Programmed","NA","NA","NA","NA","NA","2","0","0","2","1.28%","1","0%","0%","0","0%","0","0","0","0","0"
"3/14/25 UTC","3/14/25 UTC","3/28/25 UTC","Shoes That Float","Shoes That Float","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Potential","NA","NA","NA","NA","NA","62","3","2","67","1.36%","1.61","14.93%","0%","0","14.93%","13","4","4.5","1","0"
"9/20/24 UTC","9/23/24 UTC","9/25/24 UTC","Astronaut","Astronaut","Socially Acceptable","Showcase","SINGLE","United States","USD","0.000%","150.00","150.00","150.00","150.00","Default Audience","15,494","536","NA","2","291","258","33","2","293","1.9%","1.5","14.68%","4.78%","20","10.92%","43","13","4.38","10","4"
"5/1/26 UTC","5/11/26 UTC","5/25/26 UTC","Me To Tell You","Me To Tell You","Socially Acceptable","Showcase","SINGLE","United States","USD","0.000%","215.00","215.00","47.52","47.52","Total","7,171","132","2","5","65","62","9","1","72","1.01%","2.06","6.94%","1.39%","1","5.56%","7","1","1","0","0"
"5/1/26 UTC","5/11/26 UTC","5/25/26 UTC","Me To Tell You","Me To Tell You","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Previously Active","NA","NA","NA","NA","NA","4","1","0","5","2.28%","1.6","40%","20%","1","20%","2","0","0","0","0"
"5/1/26 UTC","5/11/26 UTC","5/25/26 UTC","Me To Tell You","Me To Tell You","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Light","NA","NA","NA","NA","NA","1","1","0","2","2.9%","1","0%","0%","0","0%","0","0","0","0","0"
"5/1/26 UTC","5/11/26 UTC","5/25/26 UTC","Me To Tell You","Me To Tell You","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Programmed","NA","NA","NA","NA","NA","4","1","0","5","1.47%","1.6","0%","0%","0","0%","2","0","0","0","0"
"5/1/26 UTC","5/11/26 UTC","5/25/26 UTC","Me To Tell You","Me To Tell You","Socially Acceptable","Showcase","SINGLE","United States","USD","NA","NA","NA","NA","NA","Potential","NA","NA","NA","NA","NA","53","6","1","60","0.92%","2.17","5%","0%","0","5%","3","1","1","0","0"