Song,Clip,spend,duration in days,audience,AD Reach,AD Profile Visits,AD Impressions,AD 3s plays,AD likes and reactions,AD shares,AD saves,AD follows,ALL views,ALL interactions,ALL profile activity,ALL reach,ALL likes,ALL saves,ALL shares,ALL comments,ALL follows
Higher/Sugar,Higher/Sugar at Cubby Bear,$30 ,6,people similar to your followers,1892,103,2073,1190,65,22,5,0,4600,187,unknown,unknown,145,7,22,13,unknown
Faire Enough,JoW Show Promo,$70 ,10,Chicago alt,4645,167,6616,2206,58,2,2,0,8427,108,27,5494,83,4,18,3,27
Astronaut,Chop Shop Show Promo,$80 ,8,Chicago Show,6489,44,8464,2150,26,4,0,2,11220,109,3,8334,77,2,28,2,3
SH2BA,Lola Reel,$70 ,7,People you choose through targeting,6014,46,8371,2289,415,30,142,10,28618,755,122,24484,525,173,25,17,122
Astronaut (Live),Schubas Sax solo ad 1,$70 ,7,People you choose through targeting,8353,149,10517,5153,755,43,133,49,27769,1885,318,20737,1387,352,112,12,318
Astronaut (Live),Schubas Sax solo ad 2,$50 ,4,People you choose through targeting,4332,220,5106,2729,68,12,125,5,27769,1885,318,20737,1387,352,112,12,318
Astronaut (Live),Schubas Sax solo ad 3,$50 ,10,People you choose through targeting,8345,131,9762,5366,536,31,74,59,27769,1885,318,20737,1387,352,112,12,318
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,