Outlet,Profile,Country,Date,Status,Where,URL,Views
Perspective,https://www.submithub.com//blog/perspective,Netherlands,2026-04-05T10:46:39.436Z,shared,as a blog review,https://www.perspectiveonlife.nl/2026/04/socially-acceptable-sh2ba-review.html,Blog engagement:3/10
EXTRAVAFRENCH,https://www.submithub.com//blog/extravafrench,France,2026-03-19T13:56:11.848Z,shared,as a blog review and in a Spotify playlist,"https://extravafrench.com/2026/03/19/socially-acceptable-ecrit-sh2ba-pour-leur-chienne-lola-et-signe-lhymne-indie-rock-de-lannee-sans-le-faire-expres/, ,https://open.spotify.com/playlist/25TXrQJPFNJQP09iFhHd08","Blog engagement:5/10
spotify:5 - 10 (estimate)
(over 1 week)"
noesfm,https://www.submithub.com//radio/noesfm,Venezuela,2026-03-14T13:51:11.940Z,shared,random rotation on radio,,
Roadie Music,https://www.submithub.com//blog/roadie-music,Brazil,2026-03-13T17:48:11.797Z,shared,as a blog review and in a Spotify playlist,https://roadie-music.com/socially-acceptable-se-embala-nos-ritmos-de-sh2ba/,Blog engagement:3/10
Arkhe Playlists,https://www.submithub.com//playlister/arkhe-playlists,Spain,2026-03-13T09:20:57.312Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/3eBt9L8JNpa0DvzGV3K0SY,"listeners:30 - 50 (estimate)
(over 1 month)"
CivilServiceMusic,https://www.submithub.com//playlister/civilservicemusic,Australia,2026-03-12T19:21:36.027Z,shared,in a Spotify playlist and as an Instagram Reel,"https://www.instagram.com/reel/DVy71fAEVD4/, https://open.spotify.com/playlist/7AAbBaIPCQX61ZQzoDBptG?si=c1db56771df54e03","views:220
listeners:15 - 20 (estimate)
(over 2 weeks)"
ReBL,https://www.submithub.com//playlister/rebl,Belgium,2026-03-12T06:26:30.380Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/6LGXVgvFTYtvCl7kruaChA,"listeners:100 - 150 (estimate)
(over 1 month)"
Americana Country by Singer-Songwriter Kev Rowe,https://www.submithub.com//playlister/americana-country-by-singer-songwriter-kev-rowe,United States,2026-03-11T17:09:55.879Z,shared,"in a Spotify playlist, on Apple Music and in a YouTube playlist","https://open.spotify.com/playlist/1mzlYOsEwnX378PwmM9fVM,https://music.apple.com/us/playlist/pl.u-6mo4aVycEB4y8l,https://www.youtube.com/playlist?list=PLYyPliPjfnJkDhjcMuQEwjuQlHVfcHiuQ","listeners:60 - 100 (estimate)
(over 1 year)"
Steven Luke,https://www.submithub.com//playlister/steven-luke,United Kingdom,2026-03-11T15:18:52.788Z,shared,"in a Spotify playlist, on Apple Music, on Deezer, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/4q6VFs6REzCak4PmZS5q7x,https://music.apple.com/us/playlist/pl.u-55D6ZNlHg64AZp,https://www.youtube.com/playlist?list=PLmAOSTo92wujf9ALwOzcCUGQkDdVBKhrC,https://www.deezer.com/en/playlist/14467291803,https://open.spotify.com/playlist/56Kv0X1GQFsiCk0kT2P498,https://music.apple.com/us/playlist/pl.u-4Joma4ltGJWqpe,https://www.youtube.com/playlist?list=PLmAOSTo92wugayF4xolFvXosYQ6UCueQt,https://www.deezer.com/en/playlist/14467312543","listeners:30 - 40 (estimate)
(over 1 week)
listeners:< 5 (estimate)
(over 1 month)"
fatmaoz,https://www.submithub.com//playlister/fatmaoz,Turkey,2026-03-11T14:30:25.808Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/2je6dYaxDWb6IRiU6ZTMaG,"listeners:200 - 350 (estimate)
(over 1 week)"
Filip Urelind,https://www.submithub.com//playlister/filip-urelind,Sweden,2026-03-11T13:13:26.272Z,shared,in a Spotify playlist,https://open.spotify.com/playlist/4s8Hv8GTHYALN80Sd27bbB,"listeners:< 5 (estimate)
(over 1 week)"
Afro Da Plug,https://www.submithub.com//playlister/afro-da-plug-1,United Kingdom,2026-03-09T00:47:43.804Z,shared,in a Spotify playlist and in a YouTube playlist,"https://open.spotify.com/playlist/0wo8oPYNaBgOlISEiP3rTn,https://www.youtube.com/playlist?list=PLFrGLFdaTi4F94eCqB9M_67M_9xvnMgFW","listeners:150 - 250 (estimate)
(over 2 months)"
Playlist Picasso,https://www.submithub.com//playlister/playlist-picasso,Australia,2026-03-08T13:56:18.964Z,shared,"in a Spotify playlist, in a YouTube playlist and in a SoundCloud playlist","https://open.spotify.com/playlist/4ilBWEaI2qmZe5ob1JqAt8,https://www.youtube.com/playlist?list=PLVjND3IdnuzyChmxly_H8GnlCCczd95CD","listeners:300 - 500 (estimate)
(over 7 months)"